Order,Min Range,Max Range,PPMB,PPMIN,PPMIN Offnet,PPSMS,Validity,Data Limit,Onnet Limit,Offnet Limit,SMS Limit
1,100,149.9, 0.030 , 0.136 ,0.2,0.01,7,2000,1500,50,1500
2,150,199.9, 0.022 , 0.119 ,0.2,0.01,7,3500,1500,80,2000
3,200,249.9, 0.021 , 0.069 ,0.2,0.01,7,7000,3000,85,2500
4,250,299.9, 0.021 , 0.049 ,0.2,0.01,7,10000,3500,100,3500
5,300,349.9, 0.015 , 0.036 ,0.2,0.01,7,18000,6000,120,5000
6,350,399.9, 0.020 , 0.137 ,0.2,0.01,30,2000,1500,75,500
7,400,449.9, 0.037 , 0.137 ,0.2,0.01,30,2500,2000,80,1500
8,450,499.9, 0.037 , 0.137 ,0.2,0.01,30,3000,2500,85,3000
9,500,549.9, 0.032 , 0.126 ,0.2,0.01,30,4000,3000,100,3000
10,550,599.9, 0.027 , 0.112 ,0.2,0.01,30,10000,3000,150,3000
11,600,649.9, 0.025 , 0.067 ,0.2,0.01,30,20000,5000,200,5000
12,650,699.9, 0.025 , 0.067 ,0.2,0.01,30,20000,5000,220,5000
13,700,749.9, 0.025 , 0.067 ,0.2,0.01,30,20000,5000,250,5000
14,750,799.9, 0.025 , 0.067 ,0.2,0.01,30,20000,5000,300,5000
15,800,849.9, 0.026 , 0.046 ,0.2,0.01,30,25000,7000,350,7000
16,850,899.9, 0.026 , 0.046 ,0.2,0.01,30,25000,7000,400,7000
17,900,949.9, 0.026 , 0.046 ,0.2,0.01,30,25000,7000,420,7000
18,950,999.9, 0.026 , 0.046 ,0.2,0.01,30,25000,7000,450,7000
19,1000,10000, 0.026 , 0.046 ,0.2,0.01,30,25000,10000,500,10000
